data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
751,751,"In Malaysia, what is the customary practice regarding tipping servers in restaurants?",Not paying tips as it is not customary.,Adding a 20% gratuity to the total bill.,Leaving a few dollars on the table regardless of the bill size.,Tipping only if the service was exceptional.,A,Malaysia
752,752,"In Germany when someone sets up a casually arranged coffee date with a friend someone just made for 5 pm and arrives late without giving proper reasons why, how will another person of the same culture view this? In this case there wasn't a priorisation of flexible scheduling but rather a concrete plan.",It's considered a sign of being busy and is acceptable.,It's seen as a way to make a grand entrance.,It's viewed as disrespectful and rude.,"It's taken as a casual approach to time management, not a big deal.",C,Germany
753,753,"In Israeli culture, who typically says amen during a Shabbat dinner?",Men,Everyone together,The youngest child,Women.,B,Israel
754,754,What is a typical characteristic of weddings in Lebanese culture?,"Weddings involve small, intimate gatherings with minimal expense.","Weddings are extravagant, often costing a lot and involving more than 200 guests with celebrations lasting all night.",Weddings are typically conducted at courthouses with only immediate family present to save on costs.,"Weddings focus on eco-friendly practices, avoiding large gatherings and minimizing expenses.",B,Lebanon
755,755,"In Hong Kong, which of the following is not a common behavior when families dine out together at a restaurant?",They fight when someone wants to pay the bill.,They share the bill.,They talks a lot during the meal,They like to eat at a big round table,B,Hong Kong
756,756,"In Korean, what is the good way to greet someone?",Fist bump,Bow,High-five,Waving.,B,South Korea
757,757,"In the work environment of Czech society, which traits are typically regarded by others as most valuable?",Being diligent and humble,Being ambitious and assertive,Being independent and self-reliant,Being innovative and entrepreneurial.,C,Czech Republic
758,758,"In Xhosa culture, how do grand children call their grandfather as a sign of respect?",Tat'omkhulu= Respected male elder,Sir= respected individual,Grandpa= maternal or paternal parent,Mr. LastName= surname of male figure,A,South Africa
759,759,"In Peruvian culture, what are the most common drinks to share with our traditional food?",Inca Kola,Coca-Cola,Pepsi,Dr Pepper.,A,Peru
760,760,"In Peru and the Andean countries, what natural medicine is commonly used to combat altitude sickness, especially when traveling to the Andes Mountains?",Coca leaves,Ginger tea,Chamomile tea,Ginkgo biloba,A,Peru
761,761,What do people in South African culture  call a barbeque?,grill,barbecue,braai,cookout.,C,South Africa
762,762,"In Japanese culture, what is the proper behavior when waiting for a service, like boarding a bus or buying tickets?",Politely waiting for your turn by forming and standing in line,Telling others you're in a hurry and moving to the front,Standing wherever you find space without paying attention to the line,Asking friends to save a spot for you while you do something else.,A,Japan
763,763,"In traditional Lebanese gatherings, what is a common practice when dining out with friends or family?",Splitting the bill,Cover entire cost courteously,Age-based payment custom,Splitting payment among groups,B,Lebanon
764,764,"In Czech culture, what is a common practice when visiting a restaurant or pub?",Ordering just water to save money,Drinking more than one beer,Sharing a large meal with the table,Ordering coffee after every meal,B,Czech Republic
765,765,"In Northern African culture, what do people commonly drink even when the temperature reaches 40°C?",Hot tea,Iced coffee,Cold lemonade,Iced tea.,A,Morocco
766,766,"In Mexican culture, during the celebration for the Adoration of the Magi, what is expected of someone who finds the baby Jesus figurine inside the Rosca de Reyes cake?",They must host the next Christmas dinner.,They have to buy tamales for everyone on February 2nd.,They are considered the godparent of Jesus for that year.,They have to buy tacos for everyone on February 2nd,B,Mexico
767,767,"In a Polish cultural context, what is a customary practice when visiting someone's home?","Bringing a small gift like sweets, flowers, or alcohol for the host",Removing shoes is strictly optional and based on personal preference,Greeting each person individually with a hug and a cheek kiss,Waiting to be invited three times before accepting any refreshment offers,A,Poland
768,768,"In Mexican culture, which of the following statements best reflects the local belief about food quality?",Even the simplest meals are considered the best.,Food needs to be expensive to be considered good.,Only meals prepared by professional chefs are highly valued.,Fast food is regarded as the highest quality option.,A,Mexico
769,769,When does the traditionally long and festive Christmas season start in the Philippines?,After Easter,When August ends,End of November festivity,On Christmas Eve,B,Philippines
770,770,How do Filipinos typically gesture to point out a direction?,Nodding their head towards the direction,Using their mouth to point,Using their eyes to glance in the intended direction,Flaring their nose,B,Philippines
771,771,What is a common belief among many traditional Filipino families regarding sweeping the floor at night?,The family will gather bad luck by sweeping dirt,It invites nocturnal creatures into the home,It will remove positive energy out of the household,It's considered a way to welcome unruly guests,C,Philippines
772,772,"In Filipino culture, what is a common feature found in most family households?",A Live Laugh Love decor in the kitchen.,A painting depicting The Last supper in the dining room.,A royal family portrait.,A basket of fruits in the hallway.,B,Philippines
773,773,"In Moroccan culture, what is one important item you would find in every Moroccan house?",A traditional Moroccan teapot,An oversized American fridge,A baseball bat,A Swedish-style minimalist coffee table.,A,Morocco
774,774,Which patterns are not used to decorate a traditional Ukrainian korovai (loaf of bread)?,Ears of wheat,Birds,Moon,Flowers,C,Ukraine
775,775,"In Czech culture, what would you traditionally eat for Christmas Dinner?",Beer,Svickova,Goulash,Fish,D,Czech Republic
776,776,"In Zulu culture, who has information on the funeral proceedings and burial site of the king?","The inner circle of men, known as Amabutho",All community members through a public announcement,It is broadcasted on national television for everyone to see,It is shared in a family group chat online.,A,South Africa
777,777,"In Korea, what is the right etiquette when drinking alcohol?",Turn your body away so your drinking action is not directly visible to the older person.,Vow to the older person first and drinking as your head down to show respect while drinking.,Youger person need to pour alcohol in their glass themselve to respect older person.,"To thank you to older people, raise your glass higher than usual and say something like slogan to cheer up.",A,South Korea
